row,col,name,status,xmin,xmax,ymin,ymax,epsg
17,21,17_21,1,-1000000,-900000,-1400000,-1300000,3031
17,22,17_22,1,-900000,-800000,-1400000,-1300000,3031
17,23,17_23,1,-800000,-700000,-1400000,-1300000,3031
